Activity ID,Pillar,Age Group,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Hashtags,Materials,Steps,Skills,Activity Type,Difficulty Level,Parent Involvement
play-creativity-infant-0-1-interactive-sounds-and-textures-1,Play & Creativity,Infant (0-1),Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,1,Crinkle Fabric Play,Crinkle Fabric Play,Stimulate auditory and tactile curiosity,Provide fabric squares with crinkly material inside for baby to squeeze and explore.,3-9 months,5-10 min,#CrinklePlay;#SensorySound;#BabyExploration,Crinkle fabric or toys;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Give baby safe crinkle fabric or toys;Demonstrate squeezing to make sound;Let baby play freely;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Auditory stimulation;Tactile exploration;Sound recognition;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-interactive-sounds-and-textures-2,Play & Creativity,Infant (0-1),Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,2,Shaker Bottle Fun,Shaker Bottle Fun,Improve grip strength and sound reaction,Use small bottles filled with rice or beads and sealed tightly to act as sound shakers.,4-12 months,10 min,#DIYToys;#SensoryShakers;#InfantPlay,Small bottles;Rice or beads;Tape;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Fill small bottle with rice/beads;Seal tightly;Let baby shake and listen to sounds;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Grip strength;Sound reaction;Cause and effect;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-interactive-sounds-and-textures-3,Play & Creativity,Infant (0-1),Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,3,Soft Bell Anklets,Soft Bell Anklets,Encourage movement and sound awareness,Attach soft bell anklets to baby's feet during playtime to link movement with sound.,4-12 months,10 min,#BellsOnFeet;#MoveAndLearn;#AuditoryPlay,Baby-safe bell anklets;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Gently strap baby-safe bell anklets;Let baby move legs freely;Describe sounds as they play;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Movement awareness;Sound awareness;Motor-sound connection;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-interactive-sounds-and-textures-4,Play & Creativity,Infant (0-1),Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,4,Sound Mat Crawl,Sound Mat Crawl,Encourage crawling using sound stimulation,Place musical or crinkly mats in crawling path to motivate baby movement through auditory cues.,6-12 months,10 min,#CrawlToSound;#SoundMotivation;#MotorGrowth,Musical mat or toys;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Set up musical mat or toys in a path;Place baby at one end;Encourage crawling toward sound;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Crawling motivation;Sound tracking;Motor development;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-interactive-sounds-and-textures-5,Play & Creativity,Infant (0-1),Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,5,Parent Voice Mimic Game,Parent Voice Mimic Game,Strengthen auditory memory and bonding,Speak short repetitive sounds or words and observe baby's response or mimicry.,3-9 months,5-10 min,#BabyTalk;#VoiceMimic;#BondThroughSound,None required;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Sit face-to-face with baby;Make soft repetitive sounds (e.g., 'ba-ba');Encourage baby to respond or mimic;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Auditory memory;Bonding;Early communication;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-parent-child-bonding-activities-1,Play & Creativity,Infant (0-1),Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,1,Skin-to-Skin Cuddle Time,Skin-to-Skin Cuddle Time,Deepen emotional attachment and calm baby,Hold baby against bare chest during quiet moments or after bath for bonding.,0-6 months,10-20 min,#SkinToSkin;#BondingTime;#SecureAttachment,Soft cloth or blanket;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Sit or lie with baby on your chest;Cover with soft cloth or blanket;Hold and hum gently;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Emotional attachment;Calming;Secure bonding;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-parent-child-bonding-activities-2,Play & Creativity,Infant (0-1),Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,2,Eye Gaze Conversations,Eye Gaze Conversations,Build emotional connection and early communication,Engage baby in eye contact while speaking or making expressive faces.,2-9 months,5-10 min,#EyeContact;#BabyConnection;#EarlyTalk,None required;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Sit at baby's eye level;Talk gently and pause for baby's reactions;Mimic facial expressions;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Emotional connection;Early communication;Social interaction;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-parent-child-bonding-activities-3,Play & Creativity,Infant (0-1),Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,3,Baby Massage Routine,Baby Massage Routine,Promote relaxation and physical comfort,"Gently massage baby's legs, arms, and back using baby-safe oil.",1-12 months,10-15 min,#InfantMassage;#BondingRoutine;#Relaxation,Baby-safe oil;Soft towel;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Lay baby on soft towel;Use circular motions with gentle pressure;Talk or sing softly during massage;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Relaxation;Physical comfort;Bonding routine;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-parent-child-bonding-activities-4,Play & Creativity,Infant (0-1),Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,4,Peek-a-Boo Connection,Peek-a-Boo Connection,Encourage social response and visual tracking,Hide face behind hands or cloth and reveal with smile to entertain baby.,4-12 months,5-10 min,#PeekABoo;#FaceRecognition;#ParentFun,Hands or soft cloth;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Sit in front of baby;Hide and reveal face saying 'Peek-a-boo!';Let baby smile or react and repeat several times;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Social response;Visual tracking;Face recognition;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-infant-0-1-parent-child-bonding-activities-5,Play & Creativity,Infant (0-1),Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,5,Gentle Lullaby Sing-Along,Gentle Lullaby Sing-Along,Develop emotional security and sound association,Sing lullabies while rocking baby to sleep or during downtime.,0-12 months,10-15 min,#Lullabies;#SoothingVoices;#SecureRoutine,None required;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Hold baby in arms or cradle;Sing or hum familiar lullabies;Use soft rocking motions;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Emotional security;Sound association;Calming routine;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-pretend-play-1,Play & Creativity,Toddler (1-3),Pretend Play,Foster imagination and mimic adult roles,1,Kitchen Role Play,Kitchen Role Play,Foster imagination and mimic adult roles,Set up toy kitchen utensils and let the toddler 'cook' imaginary meals.,1.5-3 yrs,15-20 min,#PretendPlay;#MiniChef;#ImaginativeSkills,"Toy pots, pans, and food;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us)","Provide toy pots, pans, and food;Encourage your child to pretend cook;Ask questions like 'What are you making?';Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Imagination;Role-playing;Verbal expression;Material management;Progress tracking;Resource sharing,Creative,Beginner,High
play-creativity-toddler-1-3-pretend-play-2,Play & Creativity,Toddler (1-3),Pretend Play,Foster imagination and mimic adult roles,2,Vet Clinic Fun,Vet Clinic Fun,Teach empathy through caring for stuffed animals,Pretend the child is a vet taking care of stuffed animals with tools.,2-3 yrs,10-15 min,#ToddlerVet;#StuffedAnimalCare,Plush animals;Play medical kit;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Provide plush animals and play medical kit;Take turns treating animals;Talk about 'how to make them feel better';Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Empathy;Caring behavior;Role-playing;Material management;Progress tracking;Resource sharing,Creative,Beginner,High
play-creativity-toddler-1-3-pretend-play-3,Play & Creativity,Toddler (1-3),Pretend Play,Foster imagination and mimic adult roles,3,Puppet Story Time,Puppet Story Time,Encourage storytelling and verbal expression,Use sock or hand puppets to narrate or make up short stories.,1.5-3 yrs,10 min,#Puppets;#EarlyLiteracy;#StoryFun,Sock or hand puppets;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Use sock/hand puppets to create a scene;Involve toddler in voice play;Let them try holding or speaking for a puppet;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Storytelling;Verbal expression;Imagination;Material management;Progress tracking;Resource sharing,Creative,Beginner,High
play-creativity-toddler-1-3-pretend-play-4,Play & Creativity,Toddler (1-3),Pretend Play,Foster imagination and mimic adult roles,4,Superhero Dress-Up,Superhero Dress-Up,Boost confidence and body awareness,Dress up as superheroes and act out rescue missions around the room.,2-3 yrs,15 min,#SuperImagination;#DressUpPlay,Capes and masks;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Provide capes/masks;Say, 'Let's save the teddy!';Encourage jumping, posing, and storytelling;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Confidence;Body awareness;Imaginative play;Material management;Progress tracking;Resource sharing,Creative,Beginner,High
play-creativity-toddler-1-3-pretend-play-5,Play & Creativity,Toddler (1-3),Pretend Play,Foster imagination and mimic adult roles,5,Grocery Store Game,Grocery Store Game,Develop decision-making and categorization,Pretend shopping game using plastic fruits/vegetables and play money.,2-3 yrs,10-15 min,#PretendShopping;#ToddlerChoices,Plastic fruits/vegetables;Play money;Basket;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Create mini store with pretend food;Give a basket and 'money';Let toddler shop and talk about colors and names;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Decision-making;Categorization;Social interaction;Material management;Progress tracking;Resource sharing,Creative,Beginner,High
play-creativity-toddler-1-3-building-with-blocks-1,Play & Creativity,Toddler (1-3),Building with Blocks,Improve hand-eye coordination and balance,1,Tower Challenge,Tower Challenge,Improve hand-eye coordination and balance,Build tall towers and practice stacking and toppling.,1.5-3 yrs,10 min,#BlockPlay;#StackingFun;#MotorSkills,Different sized blocks;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Provide different sized blocks;Show how to stack vertically;Let the child knock it down and rebuild;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Hand-eye coordination;Balance;Problem solving;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-building-with-blocks-2,Play & Creativity,Toddler (1-3),Building with Blocks,Improve hand-eye coordination and balance,2,Color Sorting Blocks,Color Sorting Blocks,Practice color recognition and sorting,Have blocks of different colors and sort them into piles or cups.,1-2.5 yrs,10-15 min,#ColorSorting;#EarlyMathSkills,Colored cups;Matching blocks;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Give colored cups and matching blocks;Show how to match;Encourage naming colors while sorting;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Color recognition;Sorting;Early math;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-building-with-blocks-3,Play & Creativity,Toddler (1-3),Building with Blocks,Improve hand-eye coordination and balance,3,Build-a-Zoo,Build-a-Zoo,Encourage imaginative play through structure making,Use animal toys and blocks to create a zoo with enclosures.,2-3 yrs,15 min,#CreativeBuilding;#ToddlerZoo,Toy animals;Building blocks;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Place toy animals on floor;Help build little homes with blocks;Talk about animals and where they live;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Imaginative play;Structure building;Animal knowledge;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-building-with-blocks-4,Play & Creativity,Toddler (1-3),Building with Blocks,Improve hand-eye coordination and balance,4,Shape Towers,Shape Towers,Recognize basic geometric shapes,Build towers using shape-specific blocks and name them aloud.,1.5-3 yrs,10 min,#ShapePlay;#ToddlerGeometry,"Triangle, square, and circle blocks;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us)","Use triangle, square, and circle blocks;Stack while naming;Ask child to find 'same shapes';Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Shape recognition;Geometry basics;Naming skills;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-building-with-blocks-5,Play & Creativity,Toddler (1-3),Building with Blocks,Improve hand-eye coordination and balance,5,Story Building,Story Building,Combine storytelling with physical building,Narrate a simple story and build scenes with blocks as the story progresses.,2-3 yrs,15 min,#StoryBlocks;#BuildAndTell,Building blocks;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Begin a story like 'We're building a castle';Build each scene;Let the child add elements as you narrate;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Storytelling;Sequential building;Imagination;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-drawing-and-scribbling-1,Play & Creativity,Toddler (1-3),Drawing & Scribbling,Build hand strength and freedom of expression,1,Scribble Freestyle,Scribble Freestyle,Build hand strength and freedom of expression,Give crayons and paper and allow free drawing.,1-3 yrs,10 min,#ToddlerArt;#FineMotorDevelopment,Non-toxic crayons;Paper;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Provide non-toxic crayons;Encourage free drawing;Describe what they might be drawing;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Hand strength;Freedom of expression;Fine motor development;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-drawing-and-scribbling-2,Play & Creativity,Toddler (1-3),Drawing & Scribbling,Build hand strength and freedom of expression,2,Color Tracing Lines,Color Tracing Lines,Improve pre-writing skills,Draw thick lines and guide toddler to trace them.,2-3 yrs,10-15 min,#TracingPractice;#EarlyWriting,Paper;Crayons;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Draw big lines on paper;Show how to trace with crayon;Let them do it independently;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Pre-writing skills;Line following;Hand control;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-drawing-and-scribbling-3,Play & Creativity,Toddler (1-3),Drawing & Scribbling,Build hand strength and freedom of expression,3,Sticker Drawing Fun,Sticker Drawing Fun,Enhance spatial awareness and creativity,Use stickers along with drawing—like creating scenes and placing stickers.,2-3 yrs,15 min,#StickersAndArt;#CreativeToddlers,Paper;Stickers;Crayons;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Draw a basic scene (e.g. sky);Let child place stickers (birds, clouds);Add crayon marks to complete it;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Spatial awareness;Creativity;Scene building;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-drawing-and-scribbling-4,Play & Creativity,Toddler (1-3),Drawing & Scribbling,Build hand strength and freedom of expression,4,Magic Water Drawing,Magic Water Drawing,Explore mess-free creativity,Use reusable water drawing pads for mess-free doodling.,1.5-3 yrs,10 min,#WaterArt;#MessFreeArt,Water-drawing mat;Water pen;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Give toddler a water-drawing mat;Let them use pen with water;Watch color appear like magic;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Mess-free creativity;Water exploration;Color discovery;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-drawing-and-scribbling-5,Play & Creativity,Toddler (1-3),Drawing & Scribbling,Build hand strength and freedom of expression,5,Rainbow Scribbles,Rainbow Scribbles,Learn color names and explore blending,Offer multiple color crayons and guide scribbling with naming colors.,2-3 yrs,10 min,#ColorLearning;#ToddlerScribbles,Rainbow-colored crayons;Paper;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Offer rainbow-colored crayons;Say color names while scribbling;Blend colors and let child explore;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Color learning;Color blending;Creative exploration;Material management;Progress tracking;Resource sharing,Cognitive,Beginner,High
play-creativity-toddler-1-3-exploring-musical-instruments-1,Play & Creativity,Toddler (1-3),Exploring Musical Instruments,Build rhythm and gross motor coordination,1,Drumbeat Dance,Drumbeat Dance,Build rhythm and gross motor coordination,Play drum beats and let toddler dance/move with the rhythm.,2-3 yrs,10-15 min,#RhythmPlay;#DanceAndDrum,Drum or tambourine;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Play a drum or tambourine;Say 'Move with the beat!';Let child clap, stomp or jump along;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Rhythm;Gross motor coordination;Musical movement;Material management;Progress tracking;Resource sharing,Creative,Beginner,High
play-creativity-toddler-1-3-exploring-musical-instruments-2,Play & Creativity,Toddler (1-3),Exploring Musical Instruments,Build rhythm and gross motor coordination,2,Sound Matching Game,Sound Matching Game,Improve listening and memory skills,Play two different instrument sounds and have the toddler match them.,2-3 yrs,10 min,#SoundMemory;#MusicalPairs,Two different instruments (bell and shaker);Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Play 2 instruments (e.g., bell and shaker);Hide one, play it again;Ask child to match;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Listening skills;Memory;Sound recognition;Material management;Progress tracking;Resource sharing,Creative,Beginner,High
play-creativity-toddler-1-3-exploring-musical-instruments-3,Play & Creativity,Toddler (1-3),Exploring Musical Instruments,Build rhythm and gross motor coordination,3,Kitchen Band Jam,Kitchen Band Jam,Encourage spontaneous music-making using household items,"Use pots, spoons, tins as instruments for a fun jam session.",1.5-3 yrs,15 min,#KitchenInstruments;#ToddlerBand,"Pots, pans, wooden spoons;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us)","Hand out pots, pans, and wooden spoons;Create a beat;Let toddler join and lead the band;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Spontaneous music-making;Rhythm creation;Kitchen creativity;Material management;Progress tracking;Resource sharing,Creative,Beginner,High
