Activity ID,Pillar,Age Group,Difficulty Level,Activity Type,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Setup Time,Supervision Level,Materials,Kit Materials,Steps,General Instructions,Skills,Hashtags,Last Updated,Feedback,Updated By,Last Synced,Materials at Home,Materials to Buy for Kit
play-creativity-infant-0-1-interactive-sounds-and-textures-2,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,2,Shaker Bottle Fun,Shaker Bottle Fun,Improve grip strength and sound reaction,Use small bottles filled with rice or beads and sealed tightly to act as sound. Improve grip strength and sound reaction.,4-12 months,10 min,5-10 min,High,Small bottles; Rice or beads; Tape,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Fill small bottle with rice/beads; Seal tightly; Let baby shake and listen to sounds,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Grip strength, Sound reaction, Cause and effect","#DIYToys, #SensoryShakers, #InfantPlay",2025-09-27,,Tharun,2025-09-27 11:12:02,Small bottles,Rice or beads; Tape
play-creativity-infant-0-1-interactive-sounds-and-textures-3,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,3,Soft Bell Anklets,Soft Bell Anklets,Encourage movement and sound awareness,Attach soft bell anklets to baby's feet during playtime to link movement with sound. Encourage movement and sound awareness.,4-12 months,10 min,5-10 min,High,Baby-safe bell anklets; Soft play mat; Cushions,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Gently strap baby-safe bell anklets; Let baby move legs freely; Describe sounds as they play,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Movement awareness, Sound awareness, Motor-sound connection","#BellsOnFeet, #MoveAndLearn, #AuditoryPlay",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Baby-safe bell anklets
play-creativity-infant-0-1-interactive-sounds-and-textures-4,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,4,Sound Mat Crawl,Sound Mat Crawl,Encourage crawling using sound stimulation,Place musical or crinkly mats in crawling path to motivate baby movement through auditory cues. Encourage crawling using sound stimulation.,6-12 months,10 min,5-10 min,High,Musical mat or toys; Soft play mat; Cushions,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Set up musical mat or toys in a path; Place baby at one end; Encourage crawling toward sound,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Crawling motivation, Sound tracking, Motor development","#CrawlToSound, #SoundMotivation, #MotorGrowth",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Musical mat or toys
play-creativity-infant-0-1-interactive-sounds-and-textures-5,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,5,Parent Voice Mimic Game,Parent Voice Mimic Game,Strengthen auditory memory and bonding,Speak short repetitive sounds or words and observe baby's response or mimicry. Strengthen auditory memory and bonding.,3-9 months,5-10 min,5-10 min,High,None required; Soft play mat; Cushions,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Sit face-to-face with baby; Make soft repetitive sounds (e.g., 'ba-ba'); Encourage baby to respond or mimic",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Auditory memory, Bonding, Early communication","#BabyTalk, #VoiceMimic, #BondThroughSound",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,None required
play-creativity-infant-0-1-parent-child-bonding-activities-1,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,1,Skin-to-Skin Cuddle Time,Skin-to-Skin Cuddle Time,Deepen emotional attachment and calm baby,Hold baby against bare chest during quiet moments or after bath for bonding. Deepen emotional attachment and calm baby.,0-6 months,10-20 min,5-10 min,High,Soft cloth or blanket; Soft play mat; Cushions,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Sit or lie with baby on your chest; Cover with soft cloth or blanket; Hold and hum gently,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Emotional attachment, Calming, Secure bonding","#SkinToSkin, #BondingTime, #SecureAttachment",2025-09-27,,Tharun,2025-09-27 11:12:02,Soft cloth or blanket,None needed
play-creativity-infant-0-1-parent-child-bonding-activities-2,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,2,Eye Gaze Conversations,Eye Gaze Conversations,Build emotional connection and early communication,Engage baby in eye contact while speaking or making expressive faces. Build emotional connection and early communication.,2-9 months,5-10 min,5-10 min,High,None required; Soft play mat; Cushions,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Sit at baby's eye level; Talk gently and pause for baby's reactions; Mimic facial expressions,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Emotional connection, Early communication, Social interaction","#EyeContact, #BabyConnection, #EarlyTalk",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,None required
play-creativity-infant-0-1-parent-child-bonding-activities-3,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,3,Baby Massage Routine,Baby Massage Routine,Promote relaxation and physical comfort,"Gently massage baby's legs, arms, and back using baby-safe oil. Promote relaxation and physical comfort.",1-12 months,10-15 min,5-10 min,High,Baby-safe oil; Soft towel,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Lay baby on soft towel; Use circular motions with gentle pressure; Talk or sing softly during massage,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Relaxation, Physical comfort, Bonding routine","#InfantMassage, #BondingRoutine, #Relaxation",2025-09-27,,Tharun,2025-09-27 11:12:02,Soft towel,Baby-safe oil
play-creativity-infant-0-1-parent-child-bonding-activities-4,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,4,Peek-a-Boo Connection,Peek-a-Boo Connection,Encourage social response and visual tracking,Hide face behind hands or cloth and reveal with smile to entertain baby. Encourage social response and visual tracking.,4-12 months,5-10 min,5-10 min,High,Hands or soft cloth; Soft play mat; Cushions,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Sit in front of baby; Hide and reveal face saying 'Peek-a-boo!'; Let baby smile or react and repeat several times,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Social response, Visual tracking, Face recognition","#PeekABoo, #FaceRecognition, #ParentFun",2025-09-27,,Tharun,2025-09-27 11:12:02,Hands or soft cloth,None needed
play-creativity-infant-0-1-parent-child-bonding-activities-5,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,5,Gentle Lullaby Sing-Along,Gentle Lullaby Sing-Along,Develop emotional security and sound association,Sing lullabies while rocking baby to sleep or during downtime. Develop emotional security and sound association.,0-12 months,10-15 min,5-10 min,High,None required; Soft play mat; Cushions,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Hold baby in arms or cradle; Sing or hum familiar lullabies; Use soft rocking motions,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Emotional security, Sound association, Calming routine","#Lullabies, #SoothingVoices, #SecureRoutine",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,None required
play-creativity-toddler-1-3-pretend-play-1,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,1,Kitchen Role Play,Kitchen Role Play,Foster imagination and mimic adult roles,Set up toy kitchen utensils and let the toddler 'cook' imaginary meals. Foster imagination and mimic adult roles.,1.5-3 yrs,15-20 min,5-10 min,High,"Toy pots, pans, and food; Safe toys; Soft play area",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Provide toy pots, pans, and food; Encourage your child to pretend cook; Ask questions like 'What are you making?'",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Imagination, Role-playing, Verbal expression","#PretendPlay, #MiniChef, #ImaginativeSkills",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,"Toy pots, pans, and food"
play-creativity-toddler-1-3-pretend-play-2,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,2,Vet Clinic Fun,Vet Clinic Fun,Teach empathy through caring for stuffed animals,Pretend the child is a vet taking care of stuffed animals with tools. Teach empathy through caring for stuffed animals.,2-3 yrs,10-15 min,5-10 min,High,Plush animals; Play medical kit,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Provide plush animals and play medical kit; Take turns treating animals; Talk about 'how to make them feel better',Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Empathy, Caring behavior, Role-playing","#ToddlerVet, #StuffedAnimalCare",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Plush animals; Play medical kit
play-creativity-toddler-1-3-pretend-play-3,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,3,Puppet Story Time,Puppet Story Time,Encourage storytelling and verbal expression,Use sock or hand puppets to narrate or make up short stories. Encourage storytelling and verbal expression.,1.5-3 yrs,10 min,5-10 min,High,Sock or hand puppets; Safe toys; Soft play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use sock/hand puppets to create a scene; Involve toddler in voice play; Let them try holding or speaking for a puppet,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Storytelling, Verbal expression, Imagination","#Puppets, #EarlyLiteracy, #StoryFun",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Sock or hand puppets
play-creativity-toddler-1-3-pretend-play-4,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,4,Superhero Dress-Up,Superhero Dress-Up,Boost confidence and body awareness,Dress up as superheroes and act out rescue missions around the room. Boost confidence and body awareness.,2-3 yrs,15 min,5-10 min,High,Capes and masks; Safe toys; Soft play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Provide capes/masks; Say, 'Let's save the teddy!'; Encourage jumping, posing, and storytelling",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Confidence, Body awareness, Imaginative play","#SuperImagination, #DressUpPlay",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Capes and masks
play-creativity-toddler-1-3-pretend-play-5,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,5,Grocery Store Game,Grocery Store Game,Develop decision-making and categorization,Pretend shopping game using plastic fruits/vegetables and play money. Develop decision-making and categorization.,2-3 yrs,10-15 min,5-10 min,High,Plastic fruits/vegetables; Play money; Basket,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Create mini store with pretend food; Give a basket and 'money'; Let toddler shop and talk about colors and names,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Decision-making, Categorization, Social interaction","#PretendShopping, #ToddlerChoices",2025-09-27,,Tharun,2025-09-27 11:12:02,Plastic fruits/vegetables,Play money; Basket
play-creativity-toddler-1-3-building-with-blocks-1,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,1,Tower Challenge,Tower Challenge,Improve hand-eye coordination and balance,Build tall towers and practice stacking and toppling. Improve hand-eye coordination and balance.,1.5-3 yrs,10 min,5-10 min,High,Different sized blocks; Safe toys; Soft play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Provide different sized blocks; Show how to stack vertically; Let the child knock it down and rebuild,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Hand-eye coordination, Balance, Problem solving","#BlockPlay, #StackingFun, #MotorSkills",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Different sized blocks
play-creativity-toddler-1-3-building-with-blocks-2,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,2,Color Sorting Blocks,Color Sorting Blocks,Practice color recognition and sorting,Have blocks of different colors and sort them into piles or cups. Practice color recognition and sorting.,1-2.5 yrs,10-15 min,5-10 min,High,Colored cups; Matching blocks,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Give colored cups and matching blocks; Show how to match; Encourage naming colors while sorting,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Color recognition, Sorting, Early math","#ColorSorting, #EarlyMathSkills",2025-09-27,,Tharun,2025-09-27 11:12:02,Colored cups,Matching blocks
play-creativity-toddler-1-3-building-with-blocks-3,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,3,Build-a-Zoo,Build-a-Zoo,Encourage imaginative play through structure making,Use animal toys and blocks to create a zoo with enclosures. Encourage imaginative play through structure making.,2-3 yrs,15 min,5-10 min,High,Toy animals; Building blocks,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Place toy animals on floor; Help build little homes with blocks; Talk about animals and where they live,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Imaginative play, Structure building, Animal knowledge","#CreativeBuilding, #ToddlerZoo",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Toy animals; Building blocks
play-creativity-toddler-1-3-building-with-blocks-4,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,4,Shape Towers,Shape Towers,Recognize basic geometric shapes,Build towers using shape-specific blocks and name them aloud. Recognize basic geometric shapes.,1.5-3 yrs,10 min,5-10 min,High,"Triangle, square, and circle blocks; Safe toys; Soft play area",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Use triangle, square, and circle blocks; Stack while naming; Ask child to find 'same shapes'",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Shape recognition, Geometry basics, Naming skills","#ShapePlay, #ToddlerGeometry",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,"Triangle, square, and circle blocks"
play-creativity-toddler-1-3-building-with-blocks-5,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,5,Story Building,Story Building,Combine storytelling with physical building,Narrate a simple story and build scenes with blocks as the story progresses. Combine storytelling with physical building.,2-3 yrs,15 min,5-10 min,High,Building blocks; Safe toys; Soft play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Begin a story like 'We're building a castle'; Build each scene; Let the child add elements as you narrate,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Storytelling, Sequential building, Imagination","#StoryBlocks, #BuildAndTell",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Building blocks
play-creativity-toddler-1-3-drawing-and-scribbling-1,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,1,Scribble Freestyle,Scribble Freestyle,Build hand strength and freedom of expression,Give crayons and paper and allow free drawing. Build hand strength and freedom of expression.,1-3 yrs,10 min,5-10 min,High,Non-toxic crayons; Paper,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Provide non-toxic crayons; Encourage free drawing; Describe what they might be drawing,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Hand strength, Freedom of expression, Fine motor development","#ToddlerArt, #FineMotorDevelopment",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Non-toxic crayons
play-creativity-toddler-1-3-drawing-and-scribbling-2,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,2,Color Tracing Lines,Color Tracing Lines,Improve pre-writing skills,Draw thick lines and guide toddler to trace them. Improve pre-writing skills.,2-3 yrs,10-15 min,5-10 min,High,Paper; Crayons,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Draw big lines on paper; Show how to trace with crayon; Let them do it independently,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Pre-writing skills, Line following, Hand control","#TracingPractice, #EarlyWriting",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Crayons
play-creativity-toddler-1-3-drawing-and-scribbling-3,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,3,Sticker Drawing Fun,Sticker Drawing Fun,Enhance spatial awareness and creativity,Use stickers along with drawing—like creating scenes and placing stickers. Enhance spatial awareness and creativity.,2-3 yrs,15 min,5-10 min,High,Paper; Stickers; Crayons,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Draw a basic scene (e.g. sky); Let child place stickers (birds, clouds); Add crayon marks to complete it",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Spatial awareness, Creativity, Scene building","#StickersAndArt, #CreativeToddlers",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Stickers; Crayons
