Activity ID,Pillar,Age Group,Difficulty Level,Activity Type,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Setup Time,Supervision Level,Materials,Additional Information,Steps,Skills,Hashtags,Kit Materials,General Instructions,Last Updated,Feedback,Updated By,Last Synced,Materials at Home,Materials to Buy for Kit
play-creativity-infant-0-1-interactive-sounds-and-textures-1,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,1,Crinkle Fabric Play,Crinkle Fabric Play,Stimulate auditory and tactile curiosity,Provide fabric squares with crinkly material inside for baby to squeeze and explore. Stimulate auditory and tactile curiosity.,3-9 months,5-10 min,5-10 min,High,Crinkle fabric; Soft toys,Soft play mat; Cushions,Give baby a piece of crinkle fabric or a crinkle toy; Show them how to squeeze it to make the crinkly sound; Let them explore the fabric and discover the sound; Talk about the sound: 'Listen to that crinkle sound!'; Let them play with it freely and explore the texture; Put the crinkle fabric away when they're finished,"Auditory stimulation, Tactile exploration, Sound recognition","#CrinklePlay, #SensorySound, #BabyExploration",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Crinkle fabric or toys
play-creativity-infant-0-1-interactive-sounds-and-textures-2,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,2,Shaker Bottle Fun,Shaker Bottle Fun,Improve grip strength and sound reaction,Use small bottles filled with rice or beads and sealed tightly to act as sound. Improve grip strength and sound reaction.,4-12 months,10 min,5-10 min,High,Small plastic bottles; Rice; Small beads; Tape,,"Fill small plastic bottles with rice, beans, or small beads; Seal the bottles tightly and tape the lids; Let baby shake the bottles and listen to the sounds; Show them how to shake gently to make different sounds; Talk about the sounds: 'That's a soft shake' or 'That's a loud shake'; Supervise closely to ensure the bottles stay sealed","Grip strength, Sound reaction, Cause and effect","#DIYToys, #SensoryShakers, #InfantPlay",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Small bottles,Rice or beads; Tape
play-creativity-infant-0-1-interactive-sounds-and-textures-3,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,3,Soft Bell Anklets,Soft Bell Anklets,Encourage movement and sound awareness,Attach soft bell anklets to baby's feet during playtime to link movement with sound. Encourage movement and sound awareness.,4-12 months,10 min,5-10 min,High,Baby-safe bell anklets,Soft play mat; Cushions,"Put soft, jingly bells on baby's ankles (make sure they're safe and not too tight); Let them kick their legs and discover the sound; Talk about the sound: 'Listen to those bells jingle!'; Show them how their movements create the sound; Let them explore and move their legs freely; Remove the bells when they're done playing","Movement awareness, Sound awareness, Motor-sound connection","#BellsOnFeet, #MoveAndLearn, #AuditoryPlay",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Baby-safe bell anklets
play-creativity-infant-0-1-interactive-sounds-and-textures-4,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,4,Sound Mat Crawl,Sound Mat Crawl,Encourage crawling using sound stimulation,Place musical or crinkly mats in crawling path to motivate baby movement through auditory cues. Encourage crawling using sound stimulation.,6-12 months,10 min,5-10 min,High,Musical mat; Musical toys,Soft play mat; Cushions,"Choose a good time when baby is calm and alert; Set up the activity in a safe, comfortable space; Let baby explore the materials at their own pace; Stay close and watch for safety; Talk to them about what they're experiencing; Clean up when they show signs of being done","Crawling motivation, Sound tracking, Motor development","#CrawlToSound, #SoundMotivation, #MotorGrowth",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Musical mat or toys
play-creativity-infant-0-1-interactive-sounds-and-textures-5,Play & Creativity,Infant (0-1),Beginner,,Interactive Sounds & Textures,Stimulate auditory and tactile curiosity,5,Parent Voice Mimic Game,Parent Voice Mimic Game,Strengthen auditory memory and bonding,Speak short repetitive sounds or words and observe baby's response or mimicry. Strengthen auditory memory and bonding.,3-9 months,5-10 min,5-10 min,High,None required,Soft play mat; Cushions,"Sit face-to-face with baby in a comfortable position; Make simple, repetitive sounds like 'ba-ba-ba' or 'ma-ma-ma'; Wait for baby to respond or try to copy the sounds; Praise any attempts they make to vocalize; Take turns making sounds back and forth; End the game when they lose interest","Auditory memory, Bonding, Early communication","#BabyTalk, #VoiceMimic, #BondThroughSound",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,None required
play-creativity-infant-0-1-parent-child-bonding-activities-1,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,1,Skin-to-Skin Cuddle Time,Skin-to-Skin Cuddle Time,Deepen emotional attachment and calm baby,Hold baby against bare chest during quiet moments or after bath for bonding. Deepen emotional attachment and calm baby.,0-6 months,10-20 min,5-10 min,High,Soft cloth; Blanket,Soft play mat; Cushions,"Find a quiet, comfortable spot to sit or lie down; Hold baby close to your skin (remove your shirt if comfortable); Let them feel your warmth and heartbeat; Talk softly to them or sing a gentle song; Enjoy this special bonding time together; Dress baby when they seem ready to end the cuddle","Emotional attachment, Calming, Secure bonding","#SkinToSkin, #BondingTime, #SecureAttachment",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Soft cloth or blanket,None needed
play-creativity-infant-0-1-parent-child-bonding-activities-2,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,2,Eye Gaze Conversations,Eye Gaze Conversations,Build emotional connection and early communication,Engage baby in eye contact while speaking or making expressive faces. Build emotional connection and early communication.,2-9 months,5-10 min,5-10 min,High,None required,Soft play mat; Cushions,"Hold baby in your arms and make eye contact with them; Talk to them about what you're doing: 'I'm looking at you, and you're looking at me!'; Wait for them to make eye contact back with you; Smile and make gentle facial expressions; Let them study your face and expressions; End the eye contact game when they look away or get tired","Emotional connection, Early communication, Social interaction","#EyeContact, #BabyConnection, #EarlyTalk",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,None required
play-creativity-infant-0-1-parent-child-bonding-activities-3,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,3,Baby Massage Routine,Baby Massage Routine,Promote relaxation and physical comfort,"Gently massage baby's legs, arms, and back using baby-safe oil. Promote relaxation and physical comfort.",1-12 months,10-15 min,5-10 min,High,Baby-safe oil; Soft towel,,"Lay baby on a soft towel in a warm, comfortable room; Use gentle, circular motions to massage their arms and legs; Talk softly to them while you massage: 'This feels nice and gentle'; Watch for signs they're enjoying it or if they want to stop; Use baby-safe lotion if you want to make it extra soothing; Stop when they show signs of being done or getting fussy","Relaxation, Physical comfort, Bonding routine","#InfantMassage, #BondingRoutine, #Relaxation",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Soft towel,Baby-safe oil
play-creativity-infant-0-1-parent-child-bonding-activities-4,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,4,Peek-a-Boo Connection,Peek-a-Boo Connection,Encourage social response and visual tracking,Hide face behind hands or cloth and reveal with smile to entertain baby. Encourage social response and visual tracking.,4-12 months,5-10 min,5-10 min,High,Hands; Soft cloth,Soft play mat; Cushions,Hold a soft cloth or your hands in front of your face; Peek out from behind the cloth and say 'Peek-a-boo!'; Hide your face again and repeat the game; Watch for baby's reactions and smiles; Let them try to grab the cloth if they want to; Stop the game when they lose interest or get overstimulated,"Social response, Visual tracking, Face recognition","#PeekABoo, #FaceRecognition, #ParentFun",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Hands or soft cloth,None needed
play-creativity-infant-0-1-parent-child-bonding-activities-5,Play & Creativity,Infant (0-1),Beginner,,Parent-Child Bonding Activities,Deepen emotional attachment and calm baby,5,Gentle Lullaby Sing-Along,Gentle Lullaby Sing-Along,Develop emotional security and sound association,Sing lullabies while rocking baby to sleep or during downtime. Develop emotional security and sound association.,0-12 months,10-15 min,5-10 min,High,None required,Soft play mat; Cushions,Hold baby in your arms in a comfortable position; Sing a gentle lullaby or soft song to them; Rock them gently as you sing; Make eye contact and smile while you sing; Let them feel the rhythm and melody of the song; Continue singing until they seem calm and relaxed,"Emotional security, Sound association, Calming routine","#Lullabies, #SoothingVoices, #SecureRoutine",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,None required
play-creativity-toddler-1-3-pretend-play-1,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,1,Kitchen Role Play,Kitchen Role Play,Foster imagination and mimic adult roles,Set up toy kitchen utensils and let the toddler 'cook' imaginary meals. Foster imagination and mimic adult roles.,1.5-3 yrs,15-20 min,5-10 min,High,Toy pots; Toy pans; Toy food,Safe play area,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Imagination, Role-playing, Verbal expression","#PretendPlay, #MiniChef, #ImaginativeSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,"Toy pots, pans, and food"
play-creativity-toddler-1-3-pretend-play-2,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,2,Vet Clinic Fun,Vet Clinic Fun,Teach empathy through caring for stuffed animals,Pretend the child is a vet taking care of stuffed animals with tools. Teach empathy through caring for stuffed animals.,2-3 yrs,10-15 min,5-10 min,High,Plush animals; Play medical kit,,"Set up a pretend vet clinic with stuffed animals and toy medical tools; Show them how to 'examine' their stuffed animals; Let them pretend to give shots, check ears, and listen to hearts; Talk about taking care of animals and being gentle; Let them play the role of both vet and pet owner; Clean up the vet clinic when they're finished playing","Empathy, Caring behavior, Role-playing","#ToddlerVet, #StuffedAnimalCare",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Plush animals; Play medical kit
play-creativity-toddler-1-3-pretend-play-3,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,3,Puppet Story Time,Puppet Story Time,Encourage storytelling and verbal expression,Use sock or hand puppets to narrate or make up short stories. Encourage storytelling and verbal expression.,1.5-3 yrs,10 min,5-10 min,High,Sock or hand puppets,Safe toys; Soft play area,Gather some puppets or make simple finger puppets; Start a story and let the puppets 'talk' to each other; Let them join in with their own puppet characters; Ask questions about what the puppets are doing; Let them create their own puppet stories; Put the puppets away when story time is over,"Storytelling, Verbal expression, Imagination","#Puppets, #EarlyLiteracy, #StoryFun",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Sock or hand puppets
play-creativity-toddler-1-3-pretend-play-4,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,4,Superhero Dress-Up,Superhero Dress-Up,Boost confidence and body awareness,Dress up as superheroes and act out rescue missions around the room. Boost confidence and body awareness.,2-3 yrs,15 min,5-10 min,High,Capes and masks,Safe toys; Soft play area,"Gather some capes, masks, and other dress-up items; Let them choose their superhero costume; Help them put on their cape and mask; Encourage them to act out superhero adventures; Ask about their superhero powers and missions; Help them change back to regular clothes when done","Confidence, Body awareness, Imaginative play","#SuperImagination, #DressUpPlay",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Capes and masks
play-creativity-toddler-1-3-pretend-play-5,Play & Creativity,Toddler (1-3),Beginner,,Pretend Play,Foster imagination and mimic adult roles,5,Grocery Store Game,Grocery Store Game,Develop decision-making and categorization,Pretend shopping game using plastic fruits/vegetables and play money. Develop decision-making and categorization.,2-3 yrs,10-15 min,5-10 min,High,Plastic fruits/vegetables; Play money; Basket,,Set up a pretend grocery store with empty food containers; Give them a small shopping cart or basket; Let them 'shop' for different items; Pretend to be the cashier and help them 'pay'; Talk about different foods and healthy choices; Clean up the grocery store when shopping is done,"Decision-making, Categorization, Social interaction","#PretendShopping, #ToddlerChoices",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Plastic fruits/vegetables,Play money; Basket
play-creativity-toddler-1-3-building-with-blocks-1,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,1,Tower Challenge,Tower Challenge,Improve hand-eye coordination and balance,Build tall towers and practice stacking and toppling. Improve hand-eye coordination and balance.,1.5-3 yrs,10 min,5-10 min,High,Different sized blocks,Safe toys; Soft play area,"Clear a space on the floor or table for building; Show them how to stack a few blocks together; Let them try to build their own tower; Celebrate their efforts, even if it falls down; Ask questions about their building: 'What color is this block?'; Help clean up the blocks when they're finished","Hand-eye coordination, Balance, Problem solving","#BlockPlay, #StackingFun, #MotorSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Different sized blocks
play-creativity-toddler-1-3-building-with-blocks-2,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,2,Color Sorting Blocks,Color Sorting Blocks,Practice color recognition and sorting,Have blocks of different colors and sort them into piles or cups. Practice color recognition and sorting.,1-2.5 yrs,10-15 min,5-10 min,High,Colored cups; Matching blocks,,"Gather blocks or toys in different colors; Show them how to group items by color; Let them sort the items into different color piles; Talk about the colors: 'This is red, this is blue'; Praise their sorting efforts; Help them put the items away when finished","Color recognition, Sorting, Early math","#ColorSorting, #EarlyMathSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Colored cups,Matching blocks
play-creativity-toddler-1-3-building-with-blocks-3,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,3,Build-a-Zoo,Build-a-Zoo,Encourage imaginative play through structure making,Use animal toys and blocks to create a zoo with enclosures. Encourage imaginative play through structure making.,2-3 yrs,15 min,5-10 min,High,Toy animals; Building blocks,,Gather blocks and toy animals; Show them how to build simple enclosures for the animals; Let them create their own zoo layout; Talk about different animals and where they live; Let them play with the animals in their zoo; Help clean up the zoo when playtime is over,"Imaginative play, Structure building, Animal knowledge","#CreativeBuilding, #ToddlerZoo",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Toy animals; Building blocks
play-creativity-toddler-1-3-building-with-blocks-4,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,4,Shape Towers,Shape Towers,Recognize basic geometric shapes,Build towers using shape-specific blocks and name them aloud. Recognize basic geometric shapes.,1.5-3 yrs,10 min,5-10 min,High,"Triangle, square, and circle blocks",Safe toys; Soft play area,"Gather blocks in different shapes (circles, squares, triangles); Show them how to stack blocks by shape; Let them build towers using different shaped blocks; Talk about the shapes: 'This is a circle, this is a square'; Let them experiment with different combinations; Help clean up the shape blocks when finished","Shape recognition, Geometry basics, Naming skills","#ShapePlay, #ToddlerGeometry",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,"Triangle, square, and circle blocks"
